project_id,project_name
8985,One Wood Road
5465,One．Artlane
6205,Ontolo
9325,Oria
8865,Pano Harbour
10285,Park College
153,Park Haven
9830,Park Seasons
2885,Park Yoho IA
2905,Park Yoho IB
2906,Park Yoho IC
4447,Park Yoho IIA
5505,Park Yoho IIB
5325,Park Yoho IIC
8845,Park Yoho III
2465,Parker 33
4225,Patina
9106,Pok Fu Lam Road 138
11066,Porto
7525,Prince Central
5765,Pulsa
1865,Regalia Bay
7685,Regency Bay II
6746,Royal Cove
305,Scape
9625,Sea and Sky Court
9829,Seasons Place
285,Shouson Peak
10685,Sierra Sea IA
10725,Sierra Sea IB
11305,Sierra Sea IIA
11345,Sierra Sea IIB
10666,Sierra Terrace
8405,Silicon Hill
7905,Skyehi
9646,Solace
5125,Solaria
5105,South Walk．Aura
7585,Southland
9406,Southsky
11225,Soyo Square
9585,Spring Garden
6685,St George's Mansions
5265,St Martin I
5266,St Martin II
7325,St Michel I
8245,St Michel II
4268,St Moritz
10445,State Pavilia
9885,Terra
6005,The Addition
8005,The Aperture
8506,The Arcana
7745,The Arles
10266,The Boundary
6405,The Cavaridge
9445,The Coast Line I
9385,The Coast Line II
5385,The Consonance
8925,The Corniche
645,The Cullinan
9425,The Duet
6345,The Grand Marine
96,The Grandeur
10005,The Haddon
7205,The Hampstead Reach
8285,The Harmonie
10325,The Headland Residences I
7666,The Henley I
8325,The Henley II
7945,The Henley III
9985,The Highline
5185,The Horizon
9165,The Knightsbridge
11085,The Legacy I
11145,The Legacy II
10785,The MVP
9685,The Paddington
7225,The Pavilia Farm I
7226,The Pavilia Farm II
7705,The Pavilia Farm III
10025,The Pavilia Forest I
10165,The Pavilia Forest II
10105,The Pavilia Forest III
8345,The Quinn．Square Mile
10465,The Reserve
6527,The Richmond
7485,The Royale
7025,The Royale
7265,The Royale
7605,The Upper South
10067,The Uppland
8805,The Uptown
6505,The Vertex
10185,The Wave
3005,The Wings
7845,The Yoho Hub I
8525,The Yoho Hub II
9905,Topside Residences
5785,Triazza
966,Twelve Peaks
2865,Twin Regency
9125,Twin Victoria
2325,Ultima I
3146,Ultima II
10667,UNI Residence
8445,University Hill IIA
9245,University Hill IIB
4825,Upper Central
10265,Upper Prince
6065,Upper Riverbank
9485,Uptown East
3065,Valais
7725,Vau Residence
10125,Vele
10705,Verano
9025,Victoria Coast
4625,Victoria Harbour I
9607,Victoria Harbour II-2
7786,Victoria Harbour II-3
9745,Victoria Voyage IA
10885,Victoria Voyage IB
11325,Victoria Voyage IIB
8545,Villa Garda I
8625,Villa Garda II
8645,Villa Garda III
8466,Villa Lucca
2985,Wellesley
7867,Wetland Seasons Bay I
8045,Wetland Seasons Bay II
8665,Wetland Seasons Bay III
6585,Wetland Seasons Park I
6765,Wetland Seasons Park II
6967,Wetland Seasons Park III
10505,Whitesand Cove
4745,Wings at Sea I
4865,Wings at Sea II
11105,Woodis
9565,Yoho West I
10585,Yoho West II
11365,Zendo House
